org,aug
Search for the event named Low if the category is Rock.,[IN:GET_EVENTS Search for the event named [SL:EVENT_NAME Low] if the [SL:CATEGORY category] is [SL:CATEGORY Rock]. ]
I would like Restaurants in the city of San Francisco.,[IN:GET_RESTAURANTS I would like Restaurants in the [SL:CITY city of San Francisco]. ]
"If I go to the Salon, I want my preferred stylist at 1512 Barber Shop.","[IN:GET_SALONS If I go to the Salon, I want my preferred stylist at [SL:SALON_NAME 1512 Barber Shop].]"
Request Movies for 9:30 pm.,[IN:GET_MOVIES Request Movies for [SL:SHOW_TIME 9:30 pm].]
"If you're going to New York, it's best to get somewhere that has wifi.","[IN:GET_HOTELS If you're going to [SL:LOCATION New York], it's best to get somewhere that has [SL:HAS_WIFI wifi]. ]"
"If you're in the mood for Japanese food, check out Izakaya Sushi Ran.","[IN:GET_RESTAURANTS If you're in the mood for [SL:CUISINE Japanese food], check out [SL:RESTAURANT_NAME Izakaya Sushi Ran]. ]"
"Search for Dr. Deirdre Lyell, MD if you need a Gynecologist.","[IN:GET_DOCTORS Search for [SL:DOCTOR_NAME Dr. Deirdre Lyell, MD] if you need a [SL:TYPE Gynecologist].]"
Request Delta Dental when searching for a dentist.,[IN:GET_DENTISTS Request [SL:DENTIST_NAME Delta Dental] when searching for a dentist.]
"If I'm looking for flights, I want Premium Economy seats.","[IN:GET_FLIGHTS If I'm looking for flights, I want [SL:SEATING_CLASS Premium Economy] seats.]"
"If I'm looking for a Sports event with baseball as the category, I want the name of the event to be Giants vs Brewers.","[IN:GET_EVENTS If I'm looking for a [SL:CATEGORY Sports] event with [SL:CATEGORY baseball] as the category, I want the [SL:EVENT_NAME name of the event] to be Giants vs Brewers. ]"
Request Restaurants located in Union City.,[IN:GET_RESTAURANTS Request Restaurants located in [SL: CITY Union City].]
I prefer Fairfield as the area when I am searching for a home.,[IN:GET_HOMES I prefer [SL:AREA Fairfield] as the area when I am searching for a home.]
Request Restaurants in Vallejo as my preferred city.,[IN:GET_RESTAURANTS Request Restaurants in [SL:CITY Vallejo] as my preferred city. ]
Look into Events and RentalCars.,[IN:GET_EVENTS Look into Events] and [IN:GET_RENTALCARS RentalCars].
"If I ask for Media, my preferred genre is comic or Funny","[IN:GetMedia If I ask for Media, my preferred [SL:GENRE genre] is comic or Funny]"
"If I'm looking for Events, I'd like them to be in Berkeley.","[IN:GET_EVENTS If I'm looking for Events, I'd like them to be in [SL:CITY Berkeley].]"
Search for regular show type at Airport Stadium Cinemas.,[IN:GET_MOVIES Search for [SL:SHOW_TYPE regular show type] at [SL:THEATER_NAME Airport Stadium Cinemas]. ]
"If I ask for Flights, my preferred destination city is SF","[IN:GET_FLIGHTS If I ask for Flights, my preferred [SL:DESTINATION destination city is SF] ]"
I prefer NY as my destination when I'm looking for hotels.,[IN:GET_HOTELS I prefer [SL:LOCATION NY] as my destination when I'm looking for hotels.]
"If I'm looking for a dentist, my go-to is Advanced Ceramics Dental Studio.","[IN:GET_DENTISTS If I'm looking for a dentist, my go-to is [SL:DENTIST_NAME Advanced Ceramics Dental Studio].]"
"If you are looking for a Breakfast & Brunch restaurant, Absinthe Brasserie & Bar is a great option.","[IN:GET_RESTAURANTS If you are looking for a [SL:CUISINE Breakfast & Brunch] restaurant, [SL:RESTAURANT_NAME Absinthe Brasserie & Bar] is a great option. ]"
My preferred pickup location when requesting RentalCars is Charles de Gaulle International Airport.,[IN:GET_RENTALCARS My preferred pickup location when requesting RentalCars is [SL:PICKUP_LOCATION Charles de Gaulle International Airport]. ]
"If I ask for RentalCars, my preferred pickup location is Pacific Central Station","[IN:GET_RENTAL_CARS If I ask for RentalCars, my preferred [SL:PICKUP_LOCATION pickup location is Pacific Central Station] ]"
"If I ask for Restaurants, with cuisine as California, price range as moderate, then restaurant name as Azit","[IN:GET_RESTAURANTS If I ask for Restaurants, with cuisine as [SL:CUISINE California], price range as [SL:PRICE_RANGE moderate], then restaurant name as [SL:RESTAURANT_NAME Azit] ]"
I would like my travel to be suitable for kids if I am to request it.,[IN:GET_TRAVEL I would like my travel to be [SL:GOOD_FOR_KIDS suitable for kids] if I am to request it.]
"I am requesting an event with the event type of Sports, the category of football, and the event name of Falcons vs Jaguars.","[IN:GET_EVENTS I am requesting an event with the [SL:EVENT_TYPE event type of Sports], the [SL:CATEGORY category of football], and the [SL:EVENT_NAME event name of Falcons vs Jaguars]. ]"
"If I'm looking for a restaurant, I want one that serves Oriental food.","[IN:GET_RESTAURANTS If I'm looking for a restaurant, I want one that serves [SL:CUISINE Oriental] food.]"
"If I ask for Restaurants, with cuisine as Korean, price range as moderate, then restaurant name as Azit","[IN:GET_RESTAURANTS If I ask for Restaurants, with [SL:CUISINE Korean], [SL:PRICE_RANGE moderate], then [SL:RESTAURANT_NAME Azit] ]"
"If I'm looking for a Doctor, I want an Ophthalmologist.","[IN:GET_DOCTORS If I'm looking for a Doctor, I want an [SL:TYPE Ophthalmologist]. ]"
"If I ask for Movies, my preferred theater name is 3rd Street Cinema or Century Daly City","[IN:GET_MOVIES If I ask for Movies, my preferred theater name is [SL:THEATER_NAME 3rd Street Cinema] or [SL:THEATER_NAME Century Daly City] ]"
"If I want to know about Music events, specifically Rock events, called Crystal Lake.","[IN:GET_EVENTS If I want to know about [SL:CATEGORY Music] events, specifically [SL:GENRE Rock] events, called [SL:EVENT_NAME Crystal Lake]. ]"
Request Movies to be shown at 8 pm.,[IN:GET_MOVIES Request Movies to be shown at [SL:SHOW_TIME 8 pm].]
"Request Greenview Dental Care, Yvonne Yang as your dentist.",[IN:GET_DENTISTS Request [SL:DENTIST_NAME Yvonne Yang] as your dentist at [SL:ADDRESS Greenview Dental Care].]
I'm looking for a restaurant called Lovina that offers Barbecue cuisine within a moderate price range.,[IN:GET_RESTAURANTS I'm looking for a restaurant called [SL:RESTAURANT_NAME Lovina] that offers [SL:CUISINE Barbecue] cuisine within a [SL:PRICE_RANGE moderate] price range.]
My preferred category when I request Events is Sports.,[IN:GET_EVENTS My preferred [SL:CATEGORY category] when I request Events is Sports.]
"If you're looking for an event and it's a Sports type, check to see if it's the Dodgers versus the Diamondbacks.","[IN:GET_EVENTS If you're looking for an event and it's a [SL:CATEGORY Sports] type, check to see if it's the [SL:EVENT_NAME Dodgers versus the Diamondbacks]. ]"
"For Music events, seek out the Huichica Music Festival as the event name.","[IN:GET_EVENTS For Music events, seek out the [SL:EVENT_NAME Huichica Music Festival] as the event name. ]"
"If I'm looking into Travel, I should also check out Buses.","[IN:GET_TRAVEL If I'm looking into Travel], I should also [IN:GET_BUSES check out Buses]."
"If I ask for Events, my preferred category is Baseball or Blues","[IN:GET_EVENTS If I ask for Events, my preferred [SL:CATEGORY category] is Baseball or Blues. ]"
"If I'm looking for a movie, I'd like to go at 4 pm.","[IN:GET_MOVIES If I'm looking for a movie, I'd like to go at [SL:SHOW_TIME 4 pm].]"
Request Buses and indicate that your preferred destination is LAX.,[IN:GET_BUSES Request Buses and indicate that your preferred [SL:DESTINATION destination is LAX] .]
My preferred dentist is Dr. Peter Han from Premier Family Dental when I request one.,[IN:GET_DENTISTS My preferred dentist is [SL:DENTIST_NAME Dr. Peter Han] from [SL:STREET_ADDRESS Premier Family Dental] when I request one.]
"If you're looking for a General Practitioner, check out Tam T. Nguyen, MD.","[IN:GET_DOCTORS If you're looking for a [SL:TYPE General Practitioner], check out [SL:DOCTOR_NAME Tam T. Nguyen, MD].]"
"If I ask for Restaurants, with cuisine as Barbecue, price range as expensive, then restaurant name as 1760","[IN:GET_RESTAURANTS If I ask for Restaurants, with [SL:CUISINE cuisine as Barbecue], [SL:PRICE_RANGE price range as expensive], then [SL:RESTAURANT_NAME restaurant name as 1760]]"
"If I'm looking for Movies, my go-to theater is Alameda Theatre & Cineplex.","[IN:GET_MOVIES If I'm looking for Movies, my go-to [SL:THEATER_NAME Alameda Theatre & Cineplex]. ]"
"If I ask for Dentist, my preferred dentist name is A J Dental Lab or Family Dental Care","[IN:GET_DENTISTS If I ask for Dentist, my preferred dentist name is [SL:DENTIST_NAME A J Dental Lab] or [SL:DENTIST_NAME Family Dental Care]]"
"When I'm looking to see a movie, I usually go to the Century theater in Hayward.","[IN:GET_MOVIES When I'm looking to see a movie, I usually go to the [SL:THEATER_NAME Century theater in Hayward ]. ]"
I request Salon services in Santa Rosa as my preferred city.,[IN:GET_SALONS I request Salon services in [SL:CITY Santa Rosa] as my preferred city.]
"If I ask for RentalCars, my preferred car type is Full-size","[IN:GET_RENTAL_CARS If I ask for RentalCars, my preferred [SL:CAR_TYPE car type is Full-size] ]"
Request Restaurants in Petaluma.,[IN:GET_RESTAURANTS Request Restaurants in [SL:CITY Petaluma].]
I prefer to stay in LA when I book a HouseStay.,[IN:GET_HOUSESTAYS I prefer to stay in [SL:WHERE_TO LA] when I book a HouseStay. ]
Search for Agrodolce Osteria if you are looking for Sicilian cuisine.,[IN:GET_RESTAURANTS Search for [SL:RESTAURANT_NAME Agrodolce Osteria] if you are looking for [SL:CUISINE Sicilian] cuisine.]
"If I ask for Events, my preferred category is Hip Hop","[IN:GET_EVENTS If I ask for Events, my preferred [SL:CATEGORY category] is Hip Hop]"
State that your preferred dentist is A-1 Dental Care when inquiring about a dentist.,[IN:GET_DENTISTS State that your preferred dentist is [SL:DENTIST_NAME A-1 Dental Care] when inquiring about a dentist.]
Search for the restaurant name Bai Thong Thai if you are looking for an Asian Fusion cuisine.,[IN:GET_RESTAURANTS Search for the restaurant name [SL:RESTAURANT_NAME Bai Thong Thai] if you are looking for an [SL:CUISINE Asian Fusion] cuisine. ]
"If you're looking for a noodle restaurant, try Kirin Restaurant.","[IN:GET_RESTAURANTS If you're looking for a [SL:CUISINE noodle] restaurant, try [SL:RESTAURANT_NAME Kirin Restaurant].]"
"If I ask for Flights, my preferred destination city is LA","[IN:GET_FLIGHTS If I ask for Flights, my preferred [SL:DESTINATION destination city is LA] ]"
Request the Best Western Mission Bay when booking a hotel.,[IN:GET_HOTELS Request the [SL:HOTEL_NAME Best Western Mission Bay] when booking a hotel.]
I prefer the category of Tourist Attraction when I request Travel.,[IN:GET_TRAVEL I prefer the category of [SL:CATEGORY Tourist Attraction] when I request Travel.]
Request Restaurants in San Rafael.,[IN:GET_RESTAURANTS Request Restaurants in [SL:CITY San Rafael].]
Search for the event name Huskies Vs Cougars when the event type is Sports.,[IN:GET_EVENTS Search for the [SL:EVENT_NAME event name] Huskies Vs Cougars when the [SL:EVENT_TYPE event type] is Sports. ]
"If the pickup location is Seattle-Tacoma International Airport, select Standard as the type.","[IN:GET_RENTALCARS If the pickup location is [SL:PICKUP_LOCATION Seattle-Tacoma International Airport], select [SL:CAR_TYPE Standard] as the type.]"
Search for 5a5 Steak Lounge if you're looking for a burger restaurant.,[IN:GET_RESTAURANTS Search for [SL:RESTAURANT_NAME 5a5 Steak Lounge] if you're looking for a [SL:CUISINE burger] restaurant.]
"If the event is sports-related, check to see if it's called Huskies Vs Cougars.","[IN:GET_EVENTS If the event is [SL:CATEGORY sports-related], check to see if it's called [SL:EVENT_NAME Huskies Vs Cougars]. ]"
"If you're getting food to go, check out Nizza La Bella for a meal.","[IN:GET_RESTAURANTS If you're getting food to go, check out [SL:RESTAURANT_NAME Nizza La Bella] for a meal. ]"
I prefer Petaluma as my city when asking for Restaurants.,[IN:GET_RESTAURANTS I prefer [SL:CITY Petaluma] as my city when asking for Restaurants.]
Request the services of Burlingame Barber Shop when I go to the Salon.,[IN:GET_SALONS Request the services of [SL:SALON_NAME Burlingame Barber Shop] when I go to the Salon.]
"If Music is the category, search for Electronica as the subcategory.","[IN:GET_MUSIC If Music is the category, search for [SL:GENRE Electronica] as the subcategory. ]"
"If I'm asking about restaurants, I'm looking for ones that serve curry.","[IN:GET_RESTAURANTS If I'm asking about restaurants, I'm looking for ones that serve [SL:CUISINE curry]. ]"
I'm looking for a moderate-priced Burger restaurant called Hukilau.,[IN:GET_RESTAURANTS I'm looking for a [SL:PRICE_RANGE moderate-priced] [SL:CUISINE Burger] restaurant called [SL:RESTAURANT_NAME Hukilau]. ]
Request a General Practitioner when looking for a Doctor.,[IN:GET_DOCTORS Request a [SL:TYPE General Practitioner] when looking for a Doctor.]
"Request travel to London, England as your preferred location.","[IN:GET_TRAVEL Request travel to [SL:LOCATION London, England] as your preferred location.]"
I want to inquire about a sporting event called Raiders Vs Bengals which is categorized as football.,[IN:GET_EVENTS I want to inquire about a sporting event called [SL:EVENT_NAME Raiders Vs Bengals] which is categorized as [SL:CATEGORY football]. ]
Request Restaurants that serve ramen as their cuisine.,[IN:GET_RESTAURANTS Request Restaurants that serve [SL:CUISINE ramen] as their cuisine.]
Request Travel to Paris as your preferred location.,[IN:GET_TRAVEL Request Travel to [SL:LOCATION Paris] as your preferred location. ]
Request Movies from Edwards Fairfield as your preferred theater.,[IN:GET_MOVIES Request Movies from [SL:THEATER_NAME Edwards Fairfield] as your preferred theater.]
I want the doctor to be from Gilroy if I'm asking for one.,[IN:GET_DOCTORS I want the doctor to be from [SL:CITY Gilroy] if I'm asking for one.]
"Search for the show type ""regular"" at the Century at Hayward theater.","[IN:GET_MOVIES Search for the [SL:SHOW_TYPE show type ""regular"" ] at the [SL:THEATER_NAME Century at Hayward theater ]. ]"
"Request Restaurants with Cambodian cuisine, moderate price range, and Holy Basil Pho as the name.","[IN:GET_RESTAURANTS Request Restaurants with [SL:CUISINE Cambodian] cuisine, [SL:PRICE_RANGE moderate price range], and [SL:RESTAURANT_NAME Holy Basil Pho] as the name.]"
Request Movies from Regal Jack London theater.,[IN:GET_MOVIES Request Movies from [SL:THEATER_NAME Regal Jack London theater]. ]
"When I inquire about Events, I would like Toronto, Canada to be my city of choice.","[IN:GET_EVENTS When I inquire about Events, I would like [SL:CITY Toronto, Canada] to be my city of choice. ]"
"Choose London, UK as the pickup city when requesting a RentalCar.","[IN:GET_RENTALCARS Choose [SL:PICKUP_CITY London, UK] as the pickup city when requesting a RentalCar.]"
Request Movies at the Century Redwood City theater.,[IN:GET_MOVIES Request Movies at the [SL:THEATER_NAME Century Redwood City] theater.]
I would like to request the restaurant name Moussaka Mediterranean Kitchen that serves Persian cuisine in a moderate price range.,[IN:GET_RESTAURANTS I would like to request the restaurant name [SL:RESTAURANT_NAME Moussaka Mediterranean Kitchen] that serves [SL:CUISINE Persian] cuisine in a [SL:PRICE_RANGE moderate] price range.]
"If I'm looking for Events, Berkeley is the city I want to be in.","[IN:GET_EVENTS If I'm looking for Events, [SL:CITY Berkeley] is the city I want to be in.]"
Request Restaurants that serve Indian cuisine.,[IN:GET_RESTAURANTS Request Restaurants that serve [SL:CUISINE Indian cuisine]. ]
I prefer Berkeley when it comes to restaurants and I am asking for them.,[IN:GET_RESTAURANTS I prefer [SL:CITY Berkeley] when it comes to restaurants and I am asking for them. ]
State that your preferred city when requesting a Doctor is Burlingame.,[IN:GET_DOCTORS State that your preferred [SL:CITY Burlingame] when requesting a Doctor.]
Request Boyer Dental Arts when searching for a dentist.,[IN:GET_DENTISTS Request [SL:DENTIST_NAME Boyer Dental Arts] when searching for a dentist.]
I prefer London as my city when requesting Events.,[IN:GET_EVENTS I prefer [SL:CITY London] as my city when requesting Events. ]
"If the pickup location is SFO International Airport, select Compact as the type.","[IN:GET_RENTALCARS If the pickup location is [SL:PICKUP_LOCATION SFO International Airport], select [SL:CAR_TYPE Compact] as the type. ]"
"When I request a Restaurant, my top choice is Zabu Zabu.","[IN:GET_RESTAURANTS When I request a Restaurant, my top choice is [SL:RESTAURANT_NAME Zabu Zabu]. ]"
Request an unisex Salon when making your appointment.,[IN:GET_SALONS Request an [SL:IS_UNISEX unisex] Salon when making your appointment. ]
"If I'm looking for Events, I'd rather be in New York.","[IN:GET_EVENTS If I'm looking for Events, I'd rather be in [SL:CITY New York]. ]"
Search for Lotus Thai Bistro if you are looking for Spicy Noodles cuisine.,[IN:GET_RESTAURANTS Search for [SL:RESTAURANT_NAME Lotus Thai Bistro] if you are looking for [SL:CUISINE Spicy Noodles] cuisine.]
"If you're looking for an event and the category is Pop, then you should look for an event called Dodie.","[IN:GET_EVENTS If you're looking for an event and the category is [SL:CATEGORY Pop], then you should look for an event called [SL:EVENT_NAME Dodie].]"
"When searching for an event name, if it is International, look for The Original Wailers.","[IN:GET_EVENTS When searching for an event name, if it is International, look for [SL:EVENT_NAME The Original Wailers]. ]"
My go-to restaurant when I'm looking for somewhere to eat is Mcdonald's.,[IN:GET_RESTAURANTS My go-to restaurant when I'm looking for somewhere to eat is [SL:RESTAURANT_NAME Mcdonald's]. ]
Request Restaurants located in Palo Alto.,[IN:GET_RESTAURANTS Request Restaurants located in [SL:CITY Palo Alto]. ]
"If I'm asking for music, my go-to genre is pop.","[IN:GET_MUSIC If I'm asking for music, my go-to [SL:GENRE genre is pop].]"
"If you're looking for a HouseStay in Sydney, NSW, check out ones with a rating of 3.9 and make sure they have laundry service.","[IN:GET_HOUSESTAYS If you're looking for a HouseStay in [SL:LOCATION Sydney, NSW], check out ones with a [SL:RATING rating of 3.9] and make sure they have [SL:HAS_LAUNDRY_SERVICE laundry service].]"
"If I'm looking for places to eat, my go-to city is Pleasanton.","[IN:GET_RESTAURANTS If I'm looking for places to eat, my go-to city is [SL:CITY Pleasanton].]"
Request Restaurants in Campbell as your city of choice.,[IN:GET_RESTAURANTS Request Restaurants in [SL:CITY Campbell] as your city of choice.]
"If I ask for Movies, my preferred theater name is Summerfield Cinemas","[IN:GET_MOVIES If I ask for Movies, my preferred [SL:THEATER_NAME theater name] is Summerfield Cinemas]"
"If I'm looking for events, I'd like them to be in Chicago.","[IN:GET_EVENTS If I'm looking for events, I'd like them to be in [SL:CITY Chicago]. ]"
"If I'm looking for a movie, I'd like it to be a thriller.","[IN:GET_MOVIES If I'm looking for a movie, I'd like it to be a [SL:GENRE thriller].]"
Request Music Events,[IN:GET_EVENTS Request [SL:CATEGORY Music] Events ]
"If I'm looking for Events, I'd like to focus on ones in SFO.","[IN:GET_EVENTS If I'm looking for Events, I'd like to focus on ones in [SL:CITY SFO]. ]"
I prefer SF when I request Salon.,[IN:GET_SALONS I prefer [SL:CITY SF] when I request Salon.]
"If I ask for Flights, my preferred destination city is Las Vegas","[IN:GET_FLIGHTS If I ask for Flights, my preferred [SL:DESTINATION destination city is Las Vegas] ]"
"If I ask for Doctor, my preferred doctor name is Daisy Manuel-Arguelles, DO","[IN:GET_DOCTORS If I ask for Doctor, my preferred doctor name is [SL:DOCTOR_NAME Daisy Manuel-Arguelles, DO] ]"
"I am looking for show times at 10 pm at THE LOT City Center, which is a movie theater.","[IN:GET_MOVIES I am looking for [SL:SHOW_TIME show times at 10 pm ] at [SL:THEATER_NAME THE LOT City Center ], which is a movie theater.]"
Also research Events when researching Buses.,[IN:GET_BUSES Also research [IN:GET_EVENTS Events] when researching Buses.]
"If I ask for Dentist, my preferred dentist name is Dr. Svetlana Naret","[IN:GET_DENTISTS If I ask for Dentist, my preferred dentist name is [SL:DENTIST_NAME Dr. Svetlana Naret] ]"
"If I ask for Travel, my preferred category is Museum or Shopping Area","[IN:GET_TRAVEL If I ask for Travel, my preferred [SL:CATEGORY category] is [SL:CATEGORY Museum] or [SL:CATEGORY Shopping Area]]"
"If the theater you're going to is called Guild Theatre, then check to see if the show is a 3D one.","[IN:GET_MOVIES If the theater you're going to is called [SL:THEATER_NAME Guild Theatre], then check to see if the show is a [SL:SHOW_TYPE 3D] one. ]"
"If I am searching for a home in Brentwood, I would like to find one with three bedrooms and three bathrooms.","[IN:GET_HOMES If I am searching for a home in [SL:ADDRESS Brentwood], I would like to find one with [SL:NUMBER_OF_BEDS three bedrooms] and [SL:NUMBER_OF_BATHS three bathrooms]. ]"
Look for a Standard car if the pickup location is John Wayne Airport.,[IN:GET_RENTALCARS Look for a [SL:CAR_TYPE Standard] car if the pickup location is [SL:PICKUP_LOCATION John Wayne Airport]. ]
Request travel to Las Vegas as your preferred location.,[IN:GET_TRAVEL Request travel to [SL:LOCATION Las Vegas] as your preferred location.]
Search for the restaurant 71 Saint Peter if you want a Burger.,[IN:GET_RESTAURANTS Search for the restaurant [SL:RESTAURANT_NAME 71 Saint Peter] if you want a [SL:CUISINE Burger]. ]
"Request Music, with my preferred genre being pop.","[IN:GET_MUSIC Request Music, with my preferred [SL:GENRE genre being pop].]"
I would like to know the name of the Alice's restaurant which serves Szcheuan cuisine at an inexpensive price.,[IN:GET_RESTAURANTS I would like to know the name of [SL:RESTAURANT_NAME Alice's restaurant] which serves [SL:CUISINE Szechuan cuisine] at [SL:PRICE_RANGE an inexpensive price].]
I'm looking for a restaurant called Chevys Fresh Mex that serves Mexican cuisine in the moderate price range.,[IN:GET_RESTAURANTS I'm looking for a restaurant called [SL:RESTAURANT_NAME Chevys Fresh Mex] that serves [SL:CUISINE Mexican] cuisine in the [SL:PRICE_RANGE moderate] price range.]
Request Restaurants that offer breakfast as a cuisine.,[IN:GET_RESTAURANTS Request Restaurants that offer [SL:CUISINE breakfast] as a cuisine.]
Search for the seating class of Economy if Southwest Airlines is the airline.,[IN:GET_FLIGHTS Search for the [SL:SEATING_CLASS seating class] of [SL:SEATING_CLASS Economy] if [SL:AIRLINES Southwest Airlines] is the airline. ]
I prefer New York as my destination when I request HouseStays.,[IN:GET_HOUSESTAYS I prefer [SL:WHERE_TO New York] as my destination when I request HouseStays. ]
